ISEE,IAA,IBE,Condicion_Base_OK,Perfil_Final,Desajuste
0.17500000000000004,0.2887024390243903,0.5819845179451091,True,Perfil con autonomía alta y entorno exigente,0
0.7000000000000002,0.414009756097561,0.47431386347642507,True,Perfil educativo equilibrado,1
0.30000000000000004,0.5261658536585366,0.6980999296270232,True,Perfil con autonomía alta y entorno exigente,0
0.5250000000000001,0.5608195121951219,0.5650950035186488,True,Perfil con autonomía alta y entorno exigente,0
0.7999999999999998,0.2607219512195122,0.5228712174524983,True,Perfil educativo equilibrado,1
0.7999999999999998,0.6651317073170733,0.446164672765658,True,Entorno favorable con autonomía en construcción,0
0.7999999999999998,0.3439609756097562,0.22448979591836743,True,Perfil educativo equilibrado,1
0.5,0.8184195121951219,0.5559465165376496,True,Perfil con bienestar comprometido,0
0.6500000000000001,0.3709268292682928,0.4722026741731176,True,Perfil educativo equilibrado,1
0.32499999999999996,0.7205073170731706,0.5749472202674173,True,Perfil con autonomía alta y entorno exigente,1
0.5,0.5707707317073172,0.5721323011963406,True,Perfil con autonomía alta y entorno exigente,0
0.5,0.22536585365853662,0.76073187895848,True,Perfil con autonomía alta y entorno exigente,0
0.5999999999999999,0.6860097560975611,0.6924700914848696,True,Entorno favorable con autonomía en construcción,0
0.6749999999999998,0.5853268292682928,0.6713581984517942,True,Entorno favorable con autonomía en construcción,0
0.5999999999999999,0.7816195121951222,0.5798733286418016,True,Entorno favorable con autonomía en construcción,0
0.6749999999999998,0.48753170731707324,0.4869809992962703,True,Entorno favorable con autonomía en construcción,0
0.5,0.5888,0.5151301900070373,True,Perfil con autonomía alta y entorno exigente,0
0.5999999999999999,0.6517073170731706,0.23293455313159744,True,Perfil con bienestar comprometido,1
0.7999999999999998,0.5605463414634148,0.31949331456720614,True,Perfil con bienestar comprometido,1
0.5,0.420448780487805,0.49190710767065454,True,Perfil educativo equilibrado,0
0.32499999999999996,0.6780097560975611,0.5517241379310347,True,Perfil con autonomía alta y entorno exigente,1
0.32499999999999996,0.7737756097560977,0.5503166783954963,True,Perfil con autonomía alta y entorno exigente,1
0.375,0.43777560975609764,0.5467980295566504,True,Perfil con autonomía alta y entorno exigente,0
0.30000000000000004,0.7083317073170734,0.04081632653061229,True,Perfil con bienestar comprometido,1
1.0,0.7728780487804879,0.729064039408867,True,Entorno favorable con autonomía en construcción,0
0.5,0.47453658536585375,0.5320197044334976,True,Perfil con autonomía alta y entorno exigente,0
0.30000000000000004,0.4320390243902439,0.48064743138634775,True,Perfil con autonomía alta y entorno exigente,0
0.5250000000000001,0.5448975609756097,0.5679099225897255,True,Perfil con autonomía alta y entorno exigente,0
0.5,0.45720975609756104,0.4489795918367347,True,Perfil educativo equilibrado,0
0.5,0.22470243902439033,0.525686136523575,True,Perfil educativo equilibrado,0
0.6749999999999998,0.5760780487804879,0.36945812807881767,True,Perfil con bienestar comprometido,1
0.5750000000000002,0.6243121951219514,0.4693877551020407,True,Perfil con bienestar comprometido,0
1.0,0.3240585365853659,0.20689655172413796,True,Perfil educativo equilibrado,1
0.5,0.512039024390244,0.2695285010555946,True,Perfil con bienestar comprometido,1
0.5,0.6074146341463416,0.6199859254046447,True,Perfil con autonomía alta y entorno exigente,0
0.6749999999999998,0.4382048780487806,0.4672765657987333,True,Perfil educativo equilibrado,1
0.7999999999999998,0.35371707317073176,0.48486980999296264,True,Entorno favorable con autonomía en construcción,1
0.125,0.5823609756097562,0.19141449683321593,True,Perfil con bienestar comprometido,1
0.6749999999999998,0.6781658536585365,0.33919774806474307,True,Perfil con bienestar comprometido,1
0.32499999999999996,0.5950829268292683,0.418015482054891,True,Perfil con bienestar comprometido,1
0.8250000000000002,0.36156097560975614,0.5390570021111893,True,Entorno favorable con autonomía en construcción,1
